Angle1,Intensity1
3.02,3162.8
3.04,3085.1
3.06,3055.4
3.08,2965
3.1,2894.2
3.12,2885.4
3.14,2856.4
3.16,2799
3.18,2777.8
3.2,2804.9
3.22,2817
3.24,2745.5
3.26,2649.5
3.28,2553.9
3.3,2487.6
3.32,2517.3
3.34,2521.9
3.36,2495.7
3.38,2454.6
3.4,2445.7
3.42,2421.3
3.44,2395.7
3.46,2384.4
3.48,2312.1
3.5,2328.8
3.52,2355
3.54,2339.4
3.56,2319.6
3.58,2289.2
3.6,2256.7
3.62,2231.3
3.64,2240.5
3.66,2275.5
3.68,2270.6
3.7,2236.9
3.72,2255.9
3.74,2233.6
3.76,2228.6
3.78,2224.7
3.8,2178.2
3.82,2244.9
3.84,2236.9
3.86,2183.3
3.88,2130.1
3.9,2133.9
3.92,2174.5
3.94,2192.8
3.96,2155.1
3.98,2170.4
4,2219.8
4.02,2233.2
4.04,2194.9
4.06,2194.1
4.08,2193.4
4.1,2225.2
4.12,2271.8
4.14,2250.5
4.16,2217.7
4.18,2186.5
4.2,2165
4.22,2165
4.24,2177.9
4.26,2182.5
4.28,2164.3
4.3,2109.5
4.32,2213.1
4.34,2194.9
4.36,2133.5
4.38,2095.3
4.4,2130.3
4.42,2175.1
4.44,2188.6
4.46,2153.3
4.48,2084.8
4.5,2062.1
4.52,2070.1
4.54,2098.7
4.56,2129.2
4.58,2129
4.6,2130.9
4.62,2137.7
4.64,2144.6
4.66,2185.6
4.68,2169.8
4.7,2125
4.72,2096.1
4.74,2104.3
4.76,2134.6
4.78,2121.1
4.8,2024.4
4.82,2065.5
4.84,2077.1
4.86,2059.6
4.88,2018.2
4.9,1986.2
4.92,2091.6
4.94,2114
4.96,2051.4
4.98,2148.1
5,2149.1
5.02,2086.5
5.04,2010.6
5.06,2017.5
5.08,1988.3
5.1,2059.3
5.12,2148.5
5.14,2130.2
5.16,2071.3
5.18,2040.2
5.2,2056.6
5.22,2127.4
5.24,2093.8
5.26,2102.9
5.28,2083.5
5.3,2008.1
5.32,1964
5.34,2055.2
5.36,2104.5
5.38,2076.7
5.4,2069.1
5.42,2085.6
5.44,2080.5
5.46,2054.5
5.48,2030.9
5.5,2062.6
5.52,2061.8
5.54,2084.6
5.56,2223.2
5.58,2180.5
5.6,2135.5
5.62,2097.6
5.64,2073.8
5.66,2117.2
5.68,2100.7
5.7,2077.1
5.72,2077.2
5.74,2098.5
5.76,2121.6
5.78,2128.6
5.8,2118
5.82,2111.9
5.84,2142.1
5.86,2161.5
5.88,2169.4
5.9,2189.2
5.92,2184.8
5.94,2203.4
5.96,2224.2
5.98,2207.5
6,2154.5
6.02,2172.6
6.04,2206.6
6.06,2199
6.08,2167.8
6.1,2282.2
6.12,2387.1
6.14,2389.7
6.16,2344
6.18,2360.7
6.2,2428.8
6.22,2525.5
6.24,2567.3
6.26,2639.3
6.28,2674
6.3,2696
6.32,2812.6
6.34,2927
6.36,2997.3
6.38,3062.1
6.4,3193.1
6.42,3404.8
6.44,3622
6.46,3919.1
6.48,4373.1
6.5,4922.9
6.52,5273.1
6.54,4993.1
6.56,3882.9
6.58,2783.1
6.6,2346.9
6.62,2187.7
6.64,2121.9
6.66,2045.8
6.68,2101.5
6.7,2102.6
6.72,2043.8
6.74,2043.1
6.76,2019.9
6.78,2022.3
6.8,2034.1
6.82,2015.8
6.84,2042.6
6.86,2009.5
6.88,1967
6.9,1975.3
6.92,1932.7
6.94,1963.9
6.96,1972.1
6.98,1909.3
7,2018.2
7.02,2020.2
7.04,1983.8
7.06,1936
7.08,1856.1
7.1,1894.1
7.12,1950.3
7.14,1980
7.16,1929.8
7.18,1996.8
7.2,2036.4
7.22,2022.3
7.24,1946.1
7.26,1934.8
7.28,1976.3
7.3,2005.5
7.32,1948.3
7.34,1986.3
7.36,1951
7.38,1895.7
7.4,1867.1
7.42,1928.1
7.44,1972.9
7.46,1971.8
7.48,1943.3
7.5,2078.1
7.52,2017.9
7.54,1964.5
7.56,1961.6
7.58,1959.3
7.6,1921.6
7.62,1932.2
7.64,1969.7
7.66,1964.3
7.68,1927.6
7.7,1895.9
7.72,1924
7.74,2074.8
7.76,1986
7.78,1971.6
7.8,2001
7.82,2043.4
7.84,2032.7
7.86,2031.7
7.88,2031.4
7.9,2027.6
7.92,2024.6
7.94,1987.7
7.96,1962
7.98,1953
8,1930.9
8.02,1916.1
8.04,1950.2
8.06,1995.8
8.08,1957.7
8.1,1922.5
8.12,1950.8
8.14,2012.3
8.16,2059.5
8.18,2063.8
8.2,2063.5
8.22,2075.6
8.24,2107.8
8.26,2044.6
8.28,2074.1
8.3,2106.8
8.32,2109.2
8.34,2191.4
8.36,2230.5
8.38,2253.5
8.4,2275.4
8.42,2318
8.44,2373.8
8.46,2464.5
8.48,2554.1
8.5,2550.3
8.52,2692.3
8.54,2829.8
8.56,3003.3
8.58,3289.7
8.6,3481.1
8.62,3821.5
8.64,4337
8.66,5016.3
8.68,5282.9
8.7,4619.5
8.72,3574.1
8.74,2561.5
8.76,2285.8
8.78,2137.1
8.8,2083.2
8.82,2077.6
8.84,1977.8
8.86,1944.2
8.88,1951.6
8.9,1965.5
8.92,1914.5
8.94,1919.7
8.96,1965.5
8.98,2013.9
9,2010.1
9.02,1987
9.04,1987.5
9.06,1996
9.08,1997.6
9.1,2044
9.12,2062.5
9.14,2101.2
9.16,2170.4
9.18,2101.1
9.2,2109.2
9.22,2147.1
9.24,2199
9.26,2275.9
9.28,2289.3
9.3,2362.6
9.32,2466.5
9.34,2450.5
9.36,2559.8
9.38,2632.9
9.4,2707.3
9.42,2874.1
9.44,2991.7
9.46,3158
9.48,3316.9
9.5,3413.2
9.52,3694.2
9.54,3951.4
9.56,4235.1
9.58,4576.1
9.6,4947
9.62,5514
9.64,6205.5
9.66,7033.3
9.68,8196.3
9.7,9825.7
9.72,11801.7
9.74,13583.8
9.76,13741.5
9.78,10410.4
9.8,6854
9.82,3995.3
9.84,2674
9.86,2431
9.88,2306.7
9.9,2210.3
9.92,2094.3
9.94,2053.2
9.96,2026
9.98,2019.6
10,2034.9
10.02,2034.2
10.04,2035.7
10.06,2033.2
10.08,2024.4
10.1,2013
10.12,2014.1
10.14,1987.1
10.16,1940.3
10.18,1931.9
10.2,1972.9
10.22,1947.1
10.24,1898.1
10.26,1937
10.28,1924.6
10.3,1902.1
10.32,1905.1
10.34,1969.2
10.36,1879.4
10.38,1914
10.4,1956.2
10.42,1924.9
10.44,1924.2
10.46,1891.7
10.48,1868.7
10.5,1870.7
10.52,1876
10.54,1891.9
10.56,1898.3
10.58,1889.3
10.6,1865
10.62,1854.6
10.64,1811
10.66,1787.6
10.68,1904.9
10.7,1850.5
10.72,1868
10.74,1905.7
10.76,1879
10.78,1907.2
10.8,1860
10.82,1790.8
10.84,1746.2
10.86,1766
10.88,1833.7
10.9,1869.1
10.92,1838.9
10.94,1788.6
10.96,1856.6
10.98,1891.8
11,1850.2
11.02,1742.1
11.04,1768.4
11.06,1835.6
11.08,1883
11.1,1817.5
11.12,1784.6
11.14,1817.7
11.16,1864.3
11.18,1852.1
11.2,1890.5
11.22,1885.9
11.24,1858.9
11.26,1831.9
11.28,1868.5
11.3,1874.6
11.32,1860.3
11.34,1829.9
11.36,1775.8
11.38,1780.9
11.4,1804
11.42,1817.4
11.44,1767.9
11.46,1799.1
11.48,1812.3
11.5,1803.9
11.52,1807.7
11.54,1750.4
11.56,1738.5
11.58,1770.8
11.6,1831
11.62,1811
11.64,1783.6
11.66,1749.6
11.68,1712
11.7,1734.9
11.72,1719.8
11.74,1711.9
11.76,1733
11.78,1752
11.8,1747
11.82,1739.2
11.84,1734.7
11.86,1727.1
11.88,1745.5
11.9,1755.2
11.92,1740.7
11.94,1682.1
11.96,1764.7
11.98,1759.1
12,1700
12.02,1675.6
12.04,1732.2
12.06,1715.7
12.08,1677.6
12.1,1671.4
12.12,1683.6
12.14,1667.2
12.16,1661.9
12.18,1691.4
12.2,1747.8
12.22,1730.8
12.24,1716.4
12.26,1718.8
12.28,1673.1
12.3,1664.1
12.32,1671.1
12.34,1692.8
12.36,1737.8
12.38,1676.5
12.4,1713.3
12.42,1773.6
12.44,1700.5
12.46,1699.5
12.48,1643.8
12.5,1601.5
12.52,1643.9
12.54,1676.6
12.56,1672.4
12.58,1665.6
12.6,1676.2
12.62,1678.5
12.64,1679
12.66,1681.8
12.68,1680
12.7,1632.7
12.72,1610.4
12.74,1605.6
12.76,1615
12.78,1634
12.8,1679
12.82,1687.4
12.84,1676.1
12.86,1687.5
12.88,1651.5
12.9,1661.1
12.92,1687.3
12.94,1694.4
12.96,1715.7
12.98,1718.8
13,1739
13.02,1795.1
13.04,1821
13.06,1885.4
13.08,1935.3
13.1,1956.2
13.12,1993.6
13.14,2020.8
13.16,2053.4
13.18,2105.3
13.2,2205.8
13.22,2345.6
13.24,2409.2
13.26,2465.2
13.28,2667.8
13.3,2855.2
13.32,3058.2
13.34,3317.5
13.36,3676.2
13.38,4181.2
13.4,4598.5
13.42,5098.9
13.44,5790.5
13.46,6443.2
13.48,7186
13.5,7649.9
13.52,7569.8
13.54,6433.5
13.56,5063.2
13.58,3952.4
13.6,3214.5
13.62,2766.7
13.64,2450.3
13.66,2196.2
13.68,2040.1
13.7,2072.1
13.72,1983
13.74,1941.7
13.76,1949.7
13.78,1992.8
13.8,1898.4
13.82,1962.4
13.84,2070.5
13.86,2135.3
13.88,2235.8
13.9,2378.6
13.92,2462
13.94,2419.3
13.96,2155
13.98,1842.6
14,1625.4
14.02,1526.7
14.04,1476.5
14.06,1522.4
14.08,1546
14.1,1516.9
14.12,1414.9
14.14,1508.1
14.16,1499
14.18,1451.2
14.2,1477.8
14.22,1425
14.24,1463.4
14.26,1508.3
14.28,1492.3
14.3,1516.7
14.32,1516.2
14.34,1483.9
14.36,1437
14.38,1515.5
14.4,1525.5
14.42,1522.7
14.44,1530.7
14.46,1568.8
14.48,1599.6
14.5,1633.1
14.52,1677.3
14.54,1745.8
14.56,1841.1
14.58,1906.5
14.6,1985.4
14.62,2144.6
14.64,2258
14.66,2324.7
14.68,2338.8
14.7,2292.2
14.72,2099.5
14.74,1890
14.76,1723.8
14.78,1627.1
14.8,1543.3
14.82,1536.9
14.84,1480.3
14.86,1369
14.88,1362.9
14.9,1380.2
14.92,1400.7
14.94,1421.2
14.96,1444.1
14.98,1465.5
15,1457.9
15.02,1458.4
15.04,1525.4
15.06,1515.1
15.08,1574.2
15.1,1682.4
15.12,1813.4
15.14,1904
15.16,2074.1
15.18,2312.9
15.2,2600.6
15.22,2830.6
15.24,3351.9
15.26,3835.5
15.28,4118.7
15.3,4034.9
15.32,3325.3
15.34,2548.3
15.36,1881.3
15.38,1460.1
15.4,1380.9
15.42,1367.1
15.44,1341
15.46,1230.5
15.48,1250.6
15.5,1258
15.52,1252.6
15.54,1238.1
15.56,1174.2
15.58,1172.9
15.6,1203.3
15.62,1237.8
15.64,1213.4
15.66,1228.1
15.68,1198.9
15.7,1125.1
15.72,1158.6
15.74,1137.8
15.76,1141.4
15.78,1179.8
15.8,1230.8
15.82,1177.8
15.84,1128.7
15.86,1118.7
15.88,1183.4
15.9,1275.9
15.92,1238.6
15.94,1160.7
15.96,1144.7
15.98,1131
16,1139.9
16.02,1165.1
16.04,1198.5
16.06,1204.6
16.08,1151
16.1,1132.8
16.12,1163.9
16.14,1106.7
16.16,1127.3
16.18,1135.2
16.2,1118.8
16.22,1112.7
16.24,1145.9
16.26,1156.3
16.28,1144.8
16.3,1128.8
16.32,1129.4
16.34,1095
16.36,1078.8
16.38,1141.2
16.4,1073.4
16.42,1120.6
16.44,1132.1
16.46,1021.2
16.48,1079.1
16.5,1051.9
16.52,1056
16.54,1121.8
16.56,1120.3
16.58,1135
16.6,1091.8
16.62,1013
16.64,1033.6
16.66,1089.1
16.68,1104.2
16.7,1085.3
16.72,1067
16.74,1066.7
16.76,1067
16.78,1074.2
16.8,1096.9
16.82,1059.5
16.84,1050.1
16.86,1043.4
16.88,1028.1
16.9,1123.3
16.92,1085.8
16.94,1057.4
16.96,1091.7
16.98,1089.4
17,1093.3
17.02,1102.5
17.04,1108.5
17.06,1084.1
17.08,1081
17.1,1075
17.12,1067.6
17.14,1069.8
17.16,1026.6
17.18,1062
17.2,1106.2
17.22,1058.2
17.24,1118.6
17.26,1152.5
17.28,1195
17.3,1265.5
17.32,1203.8
17.34,1260.4
17.36,1350.4
17.38,1428.3
17.4,1490.8
17.42,1511
17.44,1433.7
17.46,1281.5
17.48,1200
17.5,1176.5
17.52,1181.3
17.54,1212.3
17.56,1276.3
17.58,1267.6
17.6,1282.1
17.62,1318.2
17.64,1362.4
17.66,1345.7
17.68,1276.4
17.7,1217.9
17.72,1219.1
17.74,1137.6
17.76,1075.2
17.78,1049.4
17.8,1057
17.82,1001.4
17.84,1005.1
17.86,1022.7
17.88,1039.1
17.9,1057.4
17.92,1049.6
17.94,1009.6
17.96,959.6
17.98,953.5
18,1007.5
18.02,1036.1
18.04,1045.8
18.06,1058.7
18.08,1062.7
18.1,1049.3
18.12,1019.7
18.14,977.8
18.16,972.5
18.18,1011.4
18.2,1043.1
18.22,1039.6
18.24,1025.9
18.26,1054.8
18.28,1075.3
18.3,1084.8
18.32,1151.8
18.34,1118.7
18.36,1072.2
18.38,1038.3
18.4,1035.3
18.42,1006.6
18.44,999.4
18.46,1000.6
18.48,981.6
18.5,1003.9
18.52,991.5
18.54,975.2
18.56,987.2
18.58,994.9
18.6,946.7
18.62,913
18.64,939.2
18.66,1028.3
18.68,1026.1
18.7,996.1
18.72,964.8
18.74,937.4
18.76,977.1
18.78,1000
18.8,978.6
18.82,892.6
18.84,942.3
18.86,935.9
18.88,907.7
18.9,954.2
18.92,943.6
18.94,943
18.96,945.7
18.98,943.5
19,1009.7
19.02,1030.1
19.04,1026.2
19.06,1018.5
19.08,1061.2
19.1,1074.5
19.12,1073.9
19.14,1072.1
19.16,1100.2
19.18,1084.7
19.2,1111.7
19.22,1163.8
19.24,1128.8
19.26,1179.3
19.28,1291
19.3,1387.8
19.32,1342.2
19.34,1468.5
19.36,1550.1
19.38,1572.8
19.4,1535.4
19.42,1490.4
19.44,1529.3
19.46,1627.6
19.48,1762.6
19.5,1891.3
19.52,2131.4
19.54,2462.8
19.56,2891.1
19.58,3495.8
19.6,4256.5
19.62,5185.9
19.64,6116.4
19.66,6520
19.68,5568.4
19.7,4471.6
19.72,3386.5
19.74,2262.4
19.76,1670.6
19.78,1295.2
19.8,1095.5
19.82,1040.9
19.84,1024.2
19.86,1027.4
19.88,1032.7
19.9,1026
19.92,1010.8
19.94,1032.8
19.96,1049.7
19.98,1038.5
20,987.5
20.02,986.7
20.04,1003.8
20.06,1014
20.08,966
20.1,971.3
20.12,985.1
20.14,990.7
20.16,969.4
20.18,1000.1
20.2,988.8
20.22,952.8
20.24,923.1
20.26,948.1
20.28,955
20.3,948.1
20.32,934.1
20.34,953.9
20.36,968.1
20.38,937.8
20.4,866.4
20.42,903.8
20.44,892.6
20.46,908.8
20.48,955.3
20.5,956.8
20.52,925.3
20.54,916.6
20.56,932.7
20.58,956.3
20.6,984.1
20.62,968.3
20.64,941.9
20.66,954.9
20.68,976.8
20.7,946.4
20.72,902.7
20.74,882.1
20.76,904.2
20.78,901.6
20.8,909.2
20.82,936.5
20.84,913.6
20.86,927.2
20.88,944.5
20.9,960.4
20.92,997.7
20.94,957.9
20.96,979.7
20.98,1036
21,1001.8
21.02,1039.6
21.04,1041.8
21.06,1032.5
21.08,1061.4
21.1,1032.1
21.12,1031.1
21.14,1030.6
21.16,1005.1
21.18,1008.2
21.2,967.4
21.22,927.4
21.24,915.9
21.26,944.9
21.28,987
21.3,992.5
21.32,961.2
21.34,968.9
21.36,1008.2
21.38,1001.2
21.4,988.4
21.42,1111
21.44,1131
21.46,1084.5
21.48,1018.4
21.5,998.6
21.52,975.1
21.54,938.9
21.56,916.8
21.58,934.3
21.6,973.1
21.62,997.7
21.64,999.4
21.66,973.4
21.68,924.7
21.7,955
21.72,948.8
21.74,896.5
21.76,958.2
21.78,948.1
21.8,936.2
21.82,940.4
21.84,965.5
21.86,951.5
21.88,946.7
21.9,951.5
21.92,956.8
21.94,979
21.96,991
21.98,999.9
22,1014.6
22.02,1040.5
22.04,1098.9
22.06,1160.8
22.08,1212.1
22.1,1307.3
22.12,1359.6
22.14,1458.9
22.16,1643.2
22.18,1912.1
22.2,2214.5
22.22,2603.3
22.24,3113.8
22.26,3809.1
22.28,4829.9
22.3,6129.8
22.32,7610.9
22.34,9112
22.36,9651.2
22.38,8765.6
22.4,7069.3
22.42,5295.9
22.44,3880.9
22.46,2600.1
22.48,1676.2
22.5,1253.3
22.52,1205.3
22.54,1145.2
22.56,1081.5
22.58,1024.8
22.6,1008.8
22.62,1006.6
22.64,1012.8
22.66,1020.9
22.68,1015.6
22.7,992.1
22.72,988.4
22.74,995.2
22.76,984.6
22.78,977.5
22.8,980.8
22.82,1002.6
22.84,1051.2
22.86,1080.9
22.88,1044
22.9,1020.4
22.92,1065
22.94,1093.9
22.96,1131.5
22.98,1172.5
23,1211.7
23.02,1232.2
23.04,1254
23.06,1284.5
23.08,1325
23.1,1372.2
23.12,1419.4
23.14,1517.7
23.16,1667.2
23.18,1851.5
23.2,1975.1
23.22,2182.7
23.24,2423.7
23.26,2621.7
23.28,2685.9
23.3,2584.8
23.32,2390.3
23.34,2162.3
23.36,1882.8
23.38,1619.8
23.4,1406.6
23.42,1265.2
23.44,1225.6
23.46,1134.4
23.48,1090.7
23.5,1095.6
23.52,1043.8
23.54,1075.4
23.56,1102.6
23.58,1127.4
23.6,1186.8
23.62,1204.4
23.64,1260.7
23.66,1352.2
23.68,1464.9
23.7,1647
23.72,1855.6
23.74,1972.4
23.76,1904.2
23.78,1771.7
23.8,1598.7
23.82,1424.6
23.84,1270.2
23.86,1129.3
23.88,1033.4
23.9,965.6
23.92,927.2
23.94,945.4
23.96,956.5
23.98,947.7
24,933.3
24.02,951.6
24.04,958.6
24.06,927.2
24.08,888
24.1,888
24.12,874.5
24.14,897.5
24.16,907.5
24.18,865.8
24.2,931.3
24.22,922.3
24.24,913.7
24.26,941.3
24.28,944.4
24.3,939
24.32,932.1
24.34,924.2
24.36,907.5
24.38,943.9
24.4,928.1
24.42,878.1
24.44,891.8
24.46,956.9
24.48,987.3
24.5,1003.1
24.52,1048.8
24.54,1042.6
24.56,1065.6
24.58,1088.6
24.6,1082.7
24.62,1101.7
24.64,1110.8
24.66,1109.3
24.68,1092.8
24.7,1027.3
24.72,963
24.74,937.9
24.76,951.1
24.78,932.9
24.8,928.7
24.82,972
24.84,1032.4
24.86,1011
24.88,1081.3
24.9,1098.7
24.92,1091.4
24.94,1132.6
24.96,1099.5
24.98,1079.1
25,1067.1
25.02,1054.4
25.04,993.5
25.06,976
25.08,984.2
25.1,1007
25.12,1052.7
25.14,1030
25.16,1018.9
25.18,1051.7
25.2,1124
25.22,1200.2
25.24,1271.6
25.26,1332.4
25.28,1372.8
25.3,1489.5
25.32,1529.6
25.34,1509.7
25.36,1493.7
25.38,1464.6
25.4,1405
25.42,1334.6
25.44,1277.3
25.46,1292.5
25.48,1472.4
25.5,1661.8
25.52,1770.9
25.54,2025.3
25.56,2303.6
25.58,2812
25.6,3583.1
25.62,4309.7
25.64,5352.1
25.66,6710.7
25.68,8374.2
25.7,10309.5
25.72,11409
25.74,11145.2
25.76,9763
25.78,7855.2
25.8,6272.3
25.82,4604.7
25.84,3112.8
25.86,2120.4
25.88,1720.6
25.9,1472.9
25.92,1314.3
25.94,1203.3
25.96,1236.9
25.98,1168.9
26,1102.9
26.02,1090.4
26.04,1146.7
26.06,1154.5
26.08,1187.6
